PassengerId,Survived,Age,SibSp,Ticket,Parch,Fare,Sex_female,Pclass_3,Pclass_2,Pclass_1,Embarked_C,Embarked_Q,Embarked_S,Mr,Mrs,Miss,Master,Dr,OtherTitles,With_Cabin,Old,Kid
1,0,22.0,1,21171,0,7.25,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
2,1,38.0,1,17599,0,71.2833,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False
3,1,26.0,0,3101282,0,7.925,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
4,1,35.0,1,113803,0,53.1,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
5,0,35.0,0,373450,0,8.05,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
6,0,29.69911764705882,0,330877,0,8.4583,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
7,0,54.0,0,17463,0,51.8625,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False
8,0,2.0,3,349909,1,21.075,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
9,1,27.0,0,347742,2,11.1333,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
10,1,14.0,1,237736,0,30.0708,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
11,1,4.0,1,9549,1,16.7,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True
12,1,58.0,0,113783,0,26.55,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
13,0,20.0,0,2151,0,8.05,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
14,0,39.0,1,347082,5,31.275,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
15,0,14.0,0,350406,0,7.8542,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
16,1,55.0,0,248706,0,16.0,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
17,0,2.0,4,382652,1,29.125,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
18,1,29.69911764705882,0,244373,0,13.0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
19,0,31.0,1,345763,0,18.0,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
20,1,29.69911764705882,0,2649,0,7.225,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
21,0,35.0,0,239865,0,26.0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
22,1,34.0,0,248698,0,13.0,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False
23,1,15.0,0,330923,0,8.0292,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
24,1,28.0,0,113788,0,35.5,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False
25,0,8.0,3,349909,1,21.075,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
26,1,38.0,1,347077,5,31.3875,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
27,0,29.69911764705882,0,2631,0,7.225,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
28,0,19.0,3,19950,2,263.0,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False
29,1,29.69911764705882,0,330959,0,7.8792,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
30,0,29.69911764705882,0,349216,0,7.8958,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
31,0,40.0,0,17601,0,27.7208,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
32,1,29.69911764705882,1,17569,0,146.5208,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False
33,1,29.69911764705882,0,335677,0,7.75,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
34,0,66.0,0,24579,0,10.5,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False
35,0,28.0,1,17604,0,82.1708,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False
36,0,42.0,1,113789,0,52.0,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
37,1,29.69911764705882,0,2677,0,7.2292,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
38,0,21.0,0,2152,0,8.05,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
39,0,18.0,2,345764,0,18.0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
40,1,14.0,1,2651,0,11.2417,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
41,0,40.0,1,7546,0,9.475,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
42,0,27.0,1,11668,0,21.0,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
43,0,29.69911764705882,0,349253,0,7.8958,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
44,1,3.0,1,2123,2,41.5792,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
45,1,19.0,0,330958,0,7.8792,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
46,0,29.69911764705882,0,23567,0,8.05,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
47,0,29.69911764705882,1,370371,0,15.5,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
48,1,29.69911764705882,0,14311,0,7.75,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
49,0,29.69911764705882,2,2662,0,21.6792,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
50,0,18.0,1,349237,0,17.8,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
51,0,7.0,4,3101295,1,39.6875,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
52,0,21.0,0,39886,0,7.8,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
53,1,49.0,1,17572,0,76.7292,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False
54,1,29.0,1,2926,0,26.0,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
55,0,65.0,0,113509,1,61.9792,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False
56,1,29.69911764705882,0,19947,0,35.5,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False
57,1,21.0,0,31026,0,10.5,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
58,0,28.5,0,2697,0,7.2292,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
59,1,5.0,1,34651,2,27.75,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
60,0,11.0,5,2144,2,46.9,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
61,0,22.0,0,2669,0,7.2292,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
62,1,38.0,0,113572,0,80.0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
63,0,45.0,1,36973,0,83.475,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False
64,0,4.0,3,347088,2,27.9,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
65,0,29.69911764705882,0,17605,0,27.7208,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False
66,1,29.69911764705882,1,2661,1,15.2458,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
67,1,29.0,0,29395,0,10.5,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False
68,0,19.0,0,3464,0,8.1583,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
69,1,17.0,4,3101281,2,7.925,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
70,0,26.0,2,315151,0,8.6625,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
71,0,32.0,0,33111,0,10.5,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
72,0,16.0,5,2144,2,46.9,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
73,0,21.0,0,14879,0,73.5,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
74,0,26.0,1,2680,0,14.4542,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
75,1,32.0,0,1601,0,56.4958,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
76,0,25.0,0,348123,0,7.65,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
77,0,29.69911764705882,0,349208,0,7.8958,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
78,0,29.69911764705882,0,374746,0,8.05,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
79,1,0.83,0,248738,2,29.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
80,1,30.0,0,364516,0,12.475,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
81,0,22.0,0,345767,0,9.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
82,1,29.0,0,345779,0,9.5,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
